Date,Station,Depth,Fmax1,Fmax2,Fmax3,Fmax4,BIX,HIX,T/B,A/C,M/C,ch4_umolL,co2_umolL,TN_ugL,TP_ugL,NH4_ugL,NO3NO2_ugL,SRP_ugL,DOC_mgL,DIC_mgL,DC_mgL,DN_mgL,temp,DO,chla,Flora_ugL,Flow_cms,Rain_Total_mm,ShortwaveRadiationUp_Average_W_m2
2019-04-02T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.257684475,23.68966493,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0,894
2019-04-02T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2488027435,37.30841186,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-02T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.256360818,74.456722075,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-02T05:00:00Z,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.0018429885,22.915225900000003,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.07642763375196336,NA,NA
2019-04-02T05:00:00Z,200,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.666854057,69.12659513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
2019-04-15T05:00:00Z,50,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,199.5,12.3,9,9,3,4.9,2.8,7.7,0.3,NA,NA,NA,8.7075,NA,1.524,1277
2019-04-15T05:00:00Z,50,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,367,8.9,23,40,11,2.6,2.9,5.5,0.2,NA,NA,NA,6.8566666666666665,NA,NA,NA
2019-04-15T05:00:00Z,50,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,180,7.7,35,22,7,2.7,2.4,5.1,0.2,NA,NA,NA,4.3775,NA,NA,NA
2019-04-15T05:00:00Z,100,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,421,14.6,6,26,5,2.3,2.3,4.6,0.1,NA,NA,NA,NA,0.14239037134383534,NA,NA
2019-04-15T05:00:00Z,200,0.1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,486,83.4,13,3,14,3.4,2.8,6.2,0.3,NA,NA,NA,NA,NA,NA,NA
