Sample Name,Reservoir,Date,Date analyzed,Station,Depth,Rep,Dilution,a254,a350,Sr,Max Fl Ex ,Max Fl Em ,Max Fl ,B,T,A,C,M,N,FI,BIX,HIX,T/B,T/M,T/N,T/C,A/T,A/C,A/M,M/C,C/N
F29Apr19_200_R1.csv,FCR,4/29/2019,7/29/2020,200,0.1,1,1,,,,305,304,20.63360248,0.045034564,0.049225214,0.245624447,0.122082828,0.087196436,0.068081504,1.439933156,0.551489469,5.048493527,1.093054098,0.564532415,0.723033594,0.403211617,4.989809604,2.011949198,2.816909264,0.714239973,1.793186417
F20May19_0.1mR2.csv,FCR,5/20/2019,1/17/2020,50,0.1,1,1,,,,300,300,18.75750232,0.051462815,0.061738033,0.160945766,0.075668921,0.067161793,0.061537343,1.365825977,0.616941031,3.687472329,1.199662953,0.919243367,1.003261266,0.815896826,2.606914388,2.126973176,2.39638876,0.887574342,1.22964232
F20May19_5.0mR2.csv,FCR,5/20/2019,1/17/2020,50,5,2,1,,,,305,304,16.76310896,0.063436522,0.065978521,0.170057363,0.083290844,0.071610128,0.063594389,1.430521523,0.630853183,3.238124716,1.040071532,0.921357386,1.037489648,0.79214614,2.577465536,2.041729375,2.374766908,0.859759906,1.309720007
F20May19_9.0mR2.csv,FCR,5/20/2019,1/17/2020,50,9,2,1,,,,300,300,16.51694005,0.05891049,0.070449454,0.161100174,0.078350699,0.068742476,0.065900233,1.470501151,0.677825223,2.775884567,1.195872837,1.02483149,1.069031952,0.899155399,2.286748356,2.05614213,2.343531724,0.877369019,1.188929025
20190909_F27May19_0.1mR1.csv,FCR,5/27/2019,9/9/2019,50,0.1,1,1,,,,300,300,9.70535113,0.039218608,0.031156577,0.154484386,0.073380628,0.06248888,0.049655086,1.401159378,0.606625848,4.951573739,0.794433507,0.498593934,0.627459925,0.424588578,4.958323495,2.105247524,2.472190018,0.851571889,1.477806886
20190909_F27May19_5mR1.csv,FCR,5/27/2019,9/9/2019,50,5,1,1,,,,300,300,14.35232831,0.035176047,0.032293701,0.174058975,0.088536038,0.068758695,0.05121661,1.486579313,0.624429485,5.797929381,0.918059437,0.469667168,0.630531804,0.364752053,5.389873783,1.965967526,2.531446756,0.776618162,1.728658685
F27May19_9m_R1.csv,FCR,5/27/2019,3/23/2020,50,9,1,1,,,,300,300,16.24218123,0.096167999,0.088598913,0.175216075,0.085206346,0.078581906,0.080999235,1.526464514,0.681708628,2.728753564,0.921293094,1.127472189,1.093824075,1.039815903,1.977632331,2.056373548,2.229725453,0.922254148,1.051940128
20190909_F27May19_9mR2_50Dil.csv,FCR,5/27/2019,9/9/2019,50,9,2,2,,,,300,300,19.27707993,0.077986993,0.062169837,0.308353736,0.14705222,0.124940236,0.099310172,1.399547162,0.605927847,4.9742452,0.797182127,0.497596603,0.626016807,0.422773874,4.959860791,2.096899559,2.468009882,0.849631752,1.48073674
B30May19_01_R1.csv,BVR,5/30/2019,7/30/2020,1,0.1,1,1,,,,300,300,11.3479351,0.058873054,0.060467913,0.13573641,0.061360797,0.058808036,0.054561001,1.433061026,0.658716009,2.739536766,1.027089797,1.02822534,1.108262532,0.985448624,2.244767577,2.212103121,2.308126906,0.958397528,1.124627408
B30May19_20_R2.csv,BVR,5/30/2019,7/30/2020,20,0.1,2,1,,,,300,300,11.48236249,0.063105544,0.060369499,0.137032705,0.062190628,0.059047923,0.055985298,1.436954907,0.675478119,2.619764532,0.95664335,1.022381424,1.07830987,0.970716992,2.269899645,2.203430155,2.320703232,0.949466577,1.110838565
B30May19_30_R1.csv,BVR,5/30/2019,7/29/2020,30,0.1,1,1,,,,300,300,15.85507298,0.075301705,0.074548349,0.154090536,0.070166463,0.06560564,0.064325954,1.424666548,0.654846221,2.280357944,0.989995501,1.136310063,1.158915561,1.062449858,2.066987902,2.196071002,2.348739154,0.934999955,1.090795535
B30May19_45_R2.csv,BVR,5/30/2019,7/28/2020,45,0.1,2,1,,,,305,304,12.82532609,0.059195044,0.061458901,0.094713812,0.038305428,0.040351891,0.046084705,1.436644139,0.695918716,1.96645275,1.038244032,1.523073645,1.333607358,1.604443678,1.541091862,2.472595096,2.347196401,1.053424884,0.831196119
B30May19_50_R2.csv,BVR,5/30/2019,7/29/2020,50,0.1,2,1,,,,300,300,13.5553121,0.079582054,0.067623398,0.135595271,0.060645183,0.058708859,0.058388437,1.432455071,0.683459588,2.065714556,0.84973175,1.151843164,1.158164204,1.115066265,2.00515318,2.235878668,2.309621984,0.968071262,1.038650563
B30May19_100_R1.csv,BVR,5/30/2019,7/29/2020,100,0.1,1,1,,,,300,300,11.46079527,0.046253086,0.039477802,0.184490043,0.094804985,0.064580214,0.050415979,1.383363034,0.525752337,4.676239116,0.853517148,0.611298712,0.783041457,0.416410614,4.67326026,1.945995174,2.85675798,0.681190072,1.880455086
B30May19_200_R1.csv,BVR,5/30/2019,7/30/2020,200,0.1,1,1,,,,300,300,14.79465238,0.055275006,0.059720555,0.224525887,0.115047696,0.089154799,0.074168972,1.442645459,0.580060025,4.242944102,1.080426033,0.669852388,0.805195943,0.519093882,3.759608181,1.951589605,2.518382519,0.774937719,1.551156681
