i,Sample_Label,Reservoir,Date,Station,Depth,Rep,Fmax1,Fmax1_perc,Fmax2,Fmax2_perc,Fmax3,Fmax3_perc,Fmax4,Fmax4_perc
59,'p_20200302_F20Sep19_5R1_Dil.csv',FCR,9/20/2019,50,5,1,0.54,21.97,0.72,29.13,0.79,31.75,0.42,17.15
164,'p_F20Sep19_5R2_Dil.csv',FCR,9/20/2019,50,5,2,0.74,17.51,0.72,16.86,1.97,46.36,0.82,19.26
60,'p_20200302_F20Sep19_9R1_Dil.csv',FCR,9/20/2019,50,9,1,0.30,26.84,0.47,43.07,0.14,12.38,0.19,17.72
165,'p_F20Sep19_9R2_Dil.csv',FCR,9/20/2019,50,9,2,0.36,28.64,0.45,35.80,0.19,14.85,0.26,20.71
37,'p_20200221_F27Sep19_0.1R1_Dil.csv',FCR,9/27/2019,50,0.1,1,0.65,25.56,0.95,37.45,0.18,7.17,0.76,29.82
38,'p_20200221_F27Sep19_0.1R2_Dil.csv',FCR,9/27/2019,50,0.1,2,0.65,24.51,0.98,37.27,0.26,9.96,0.75,28.27
39,'p_20200221_F27Sep19_5R1_Dil.csv',FCR,9/27/2019,50,5,1,0.49,17.88,0.64,23.68,1.13,41.47,0.46,16.96
40,'p_20200221_F27Sep19_5R2_Dil.csv',FCR,9/27/2019,50,5,2,0.61,21.17,0.53,18.46,1.27,44.35,0.46,16.02
41,'p_20200221_F27Sep19_9R2.csv',FCR,9/27/2019,50,9,2,0.35,24.21,0.50,35.01,0.35,24.22,0.24,16.56
216,'p_F29Sep19_9R1_Dil.csv',FCR,9/29/2019,50,9,1,0.45,24.07,0.45,24.12,0.60,32.37,0.36,19.44
64,'p_B04Oct19_01_R2.csv',BVR,10/4/2019,1,0.1,2,0.43,28.14,0.54,35.22,0.22,14.32,0.34,22.32
67,'p_B04Oct19_20_R2.csv',BVR,10/4/2019,20,0.1,2,0.44,29.92,0.55,37.92,0.14,9.90,0.32,22.25
68,'p_B04Oct19_30_R2.csv',BVR,10/4/2019,30,0.1,2,0.45,28.76,0.58,36.90,0.19,12.21,0.35,22.13
69,'p_B04Oct19_45_R2.csv',BVR,10/4/2019,45,0.1,2,0.43,29.34,0.55,37.55,0.16,10.78,0.32,22.33
70,'p_B04Oct19_50_R1.csv',BVR,10/4/2019,50,0.1,1,0.42,28.80,0.54,37.36,0.16,11.18,0.33,22.66
65,'p_B04Oct19_100_R1.csv',BVR,10/4/2019,100,0.1,1,0.82,35.73,0.65,28.42,0.66,28.66,0.16,7.19
66,'p_B04Oct19_200_R1.csv',BVR,10/4/2019,200,0.1,1,0.52,37.03,0.61,43.04,0.15,10.31,0.14,9.63
113,'p_F04Oct19_01_R2.csv',FCR,10/4/2019,1,0.1,2,0.38,32.71,0.40,34.05,0.27,23.48,0.11,9.76
118,'p_F04Oct19_20_R2.csv',FCR,10/4/2019,20,0.1,2,0.66,21.29,0.83,27.07,0.63,20.36,0.96,31.28
119,'p_F04Oct19_30_R2.csv',FCR,10/4/2019,30,0.1,2,0.69,23.05,0.77,25.68,0.31,10.23,1.23,41.03
120,'p_F04Oct19_45_R2.csv',FCR,10/4/2019,45,0.1,2,0.74,22.49,0.74,22.61,0.71,21.65,1.09,33.25
124,'p_F04Oct19_Surf_R1.csv',FCR,10/4/2019,50,0.1,1,0.68,23.08,0.70,23.85,0.62,20.92,0.95,32.16
237,'p_F4Oct19_0.1R2.csv',FCR,10/4/2019,50,0.1,2,0.64,22.99,0.82,29.41,0.23,8.34,1.09,39.27
121,'p_F04Oct19_5m_R2.csv',FCR,10/4/2019,50,5,2,0.50,21.21,0.53,22.36,1.01,42.53,0.33,13.90
238,'p_F4Oct19_5.0R1.csv',FCR,10/4/2019,50,5,2,0.68,22.41,0.70,23.14,1.02,33.82,0.62,20.63
123,'p_F04Oct19_9m_R2.csv',FCR,10/4/2019,50,9,1,0.29,26.96,0.46,42.25,0.10,9.10,0.24,21.68
239,'p_F4Oct19_9.0R1.csv',FCR,10/4/2019,50,9,1,0.29,29.58,0.49,49.78,0.05,4.55,0.16,16.09
122,'p_F04Oct19_99_R1.csv',FCR,10/4/2019,99,0.1,1,0.59,49.57,0.44,37.35,0.05,4.15,0.11,8.93
114,'p_F04Oct19_100_R2.csv',FCR,10/4/2019,100,0.1,2,0.67,37.13,0.40,22.01,0.24,13.18,0.50,27.68
115,'p_F04Oct19_101_R2.csv',FCR,10/4/2019,101,0.1,2,0.70,30.44,0.30,13.15,0.85,36.71,0.46,19.70
116,'p_F04Oct19_102_R2.csv',FCR,10/4/2019,102,0.1,2,0.16,17.73,0.12,12.82,0.39,43.14,0.24,26.32
117,'p_F04Oct19_200_R2.csv',FCR,10/4/2019,200,0.1,2,1.20,34.71,1.12,32.52,0.93,26.92,0.20,5.85
130,'p_F16Oct19_Surf_R1.csv',FCR,10/16/2019,50,0.1,1,0.54,22.03,0.76,30.85,0.46,18.58,0.70,28.54
128,'p_F16Oct19_5m_R2.csv',FCR,10/16/2019,50,5,2,0.65,22.83,0.88,30.76,0.58,20.39,0.75,26.02
129,'p_F16Oct19_9m_R2.csv',FCR,10/16/2019,50,9,2,0.27,18.24,0.45,29.89,0.44,29.72,0.33,22.15
186,'p_F23Oct19_Surf_R2.csv',FCR,10/23/2019,50,0.1,2,0.59,26.96,0.82,37.32,0.22,10.17,0.56,25.55
184,'p_F23Oct19_5m_R2.csv',FCR,10/23/2019,50,5,2,0.60,29.06,0.73,35.32,0.26,12.70,0.47,22.92
185,'p_F23Oct19_9m_R2.csv',FCR,10/23/2019,50,9,2,0.36,23.60,0.53,35.24,0.31,20.73,0.31,20.43
233,'p_F30Oct19_Surf_R1.csv',FCR,10/30/2019,50,0.1,1,0.63,17.89,0.59,16.93,1.18,33.64,1.10,31.55
231,'p_F30Oct19_5m_R2.csv',FCR,10/30/2019,50,5,2,0.49,21.27,0.75,32.66,0.63,27.65,0.42,18.42
232,'p_F30Oct19_9m_R2.csv',FCR,10/30/2019,50,9,2,0.39,24.50,0.68,42.80,0.24,15.01,0.28,17.68
249,'p_F8Nov19_0.1R1.csv',FCR,11/8/2019,50,0.1,1,0.60,27.24,0.79,36.20,0.26,11.69,0.55,24.87
251,'p_F8Nov19_5.0R2.csv',FCR,11/8/2019,50,5,2,0.63,28.47,0.80,36.48,0.25,11.18,0.53,23.87
252,'p_F8Nov19_9.0R2.csv',FCR,11/8/2019,50,9,2,0.63,26.86,0.82,35.12,0.36,15.36,0.53,22.66
250,'p_F8Nov19_100_R2.csv',FCR,11/8/2019,100,0.1,2,0.47,40.25,0.34,29.79,0.25,21.45,0.10,8.52
163,'p_F20Nov19_Surf_R2.csv',FCR,11/20/2019,50,0.1,2,0.59,28.24,0.78,37.66,0.25,12.25,0.45,21.85
161,'p_F20Nov19_5m_R1.csv',FCR,11/20/2019,50,5,1,0.60,26.69,0.79,35.31,0.45,20.14,0.40,17.86
162,'p_F20Nov19_9m_R1.csv',FCR,11/20/2019,50,9,1,0.63,28.28,0.76,33.71,0.35,15.54,0.50,22.47
99,'p_B30Mar20_01_R2.csv',BVR,3/30/2020,1,0.1,2,0.38,30.96,0.43,35.45,0.18,14.83,0.23,18.77
102,'p_B30Mar20_20_R1.csv',BVR,3/30/2020,20,0.1,1,0.37,31.27,0.44,37.51,0.11,9.62,0.25,21.59
103,'p_B30Mar20_30_R2.csv',BVR,3/30/2020,30,0.1,2,0.38,27.77,0.47,34.11,0.25,18.53,0.27,19.60
104,'p_B30Mar20_45_R2.csv',BVR,3/30/2020,45,0.1,2,0.35,28.01,0.45,35.50,0.21,16.78,0.25,19.70
105,'p_B30Mar20_50_R2.csv',BVR,3/30/2020,50,0.1,2,0.38,25.04,0.48,32.26,0.38,25.56,0.26,17.14
100,'p_B30Mar20_100_R2.csv',BVR,3/30/2020,100,0.1,2,0.37,29.57,0.25,19.82,0.54,42.41,0.10,8.19
101,'p_B30Mar20_200_R1.csv',BVR,3/30/2020,200,0.1,1,0.48,32.12,0.53,35.47,0.25,16.61,0.24,15.80
146,'p_F19Mar20_01_R2.csv',FCR,3/30/2020,1,0.1,2,0.51,37.10,0.62,44.95,0.04,2.98,0.21,14.97
154,'p_F19mar20_20_R2.csv',FCR,3/30/2020,20,0.1,2,0.53,32.07,0.64,38.75,0.23,13.79,0.26,15.40
150,'p_F19Mar20_30_R2.csv',FCR,3/30/2020,30,0.1,2,0.53,37.89,0.59,42.25,0.06,4.03,0.22,15.84
151,'p_F19Mar20_45_R1.csv',FCR,3/30/2020,45,0.1,1,0.51,31.78,0.57,35.34,0.28,17.13,0.25,15.76
220,'p_F30Mar20_50_R2.csv',FCR,3/30/2020,50,0.1,2,0.53,35.49,0.53,35.89,0.20,13.57,0.22,15.05
152,'p_F19Mar20_99_R2.csv',FCR,3/30/2020,99,0.1,2,0.53,38.81,0.37,26.55,0.35,25.12,0.13,9.53
153,'p_F19mar20_100_R1.csv',FCR,3/30/2020,100,0.1,1,0.61,40.01,0.28,18.47,0.46,29.87,0.18,11.65
147,'p_F19Mar20_101_R2.csv',FCR,3/30/2020,101,0.1,2,0.48,37.34,0.32,24.76,0.37,28.83,0.12,9.06
148,'p_F19Mar20_102_R2.csv',FCR,3/30/2020,102,0.1,2,0.02,2.66,0.06,9.00,0.50,78.22,0.06,10.11
149,'p_F19Mar20_200_R1.csv',FCR,3/30/2020,200,0.1,1,0.90,39.53,0.71,31.08,0.57,25.09,0.10,4.30
