"time","depth","temp","DO","chla"
2019-02-08,1.705,4.6603,10.4232,1.6675
2019-02-08,1.719,4.6581,10.4164,1.6522
2019-02-08,1.733,4.6553,10.4148,1.698
2019-02-08,1.745,4.6571,10.4086,1.6751
2019-02-08,1.757,4.6644,10.4031,1.6827
2019-02-08,1.769,4.6708,10.4059,1.6713
2019-02-08,1.782,4.6743,10.4079,1.6827
2019-02-08,1.794,4.6769,10.415,1.7247
2019-02-08,1.807,4.6786,10.4159,1.74
2019-02-08,1.821,4.6792,10.4169,1.7667
2019-02-08,1.838,4.6803,10.4112,1.7629
2019-02-08,1.854,4.6826,10.4185,1.7438
2019-02-08,1.869,4.6852,10.426,1.7362
2019-02-08,1.89,4.6876,10.4184,1.7323
2019-02-08,1.907,4.6894,10.4247,1.74
2019-02-08,1.919,4.6873,10.4262,1.9193
2019-02-08,1.925,4.6813,10.4202,1.9193
2019-02-08,1.933,4.6751,10.4243,1.9154
2019-02-08,1.95,4.6728,10.4222,1.8964
2019-02-08,1.97,4.6736,10.4174,1.9116
2019-02-08,1.986,4.6743,10.4183,1.9498
2019-02-08,2.002,4.6749,10.4122,1.9765
2019-02-08,2.015,4.6751,10.4123,1.9841
2019-02-08,2.026,4.6747,10.4126,1.9727
2019-02-08,2.047,4.6741,10.4205,1.9765
2019-02-08,2.07,4.6783,10.4151,1.9879
2019-02-08,2.089,4.6884,10.4229,2.007
2019-02-08,2.106,4.6935,10.4245,1.9765
2019-02-08,2.125,4.6937,10.4193,2.0909
2019-02-08,2.14,4.6951,10.428,2.1024
2019-02-08,2.155,4.6984,10.4248,2.1024
2019-02-08,2.17,4.7029,10.4249,2.1176
2019-02-08,2.184,4.7053,10.4304,2.2931
2019-02-08,2.198,4.7044,10.4303,2.2817
2019-02-08,2.214,4.6999,10.4298,2.2817
2019-02-08,2.233,4.69,10.4363,2.2817
2019-02-08,2.249,4.6786,10.432,2.255
2019-02-08,2.264,4.6706,10.4291,2.2855
2019-02-08,2.278,4.6664,10.4395,2.3046
2019-02-08,2.29,4.6644,10.4403,2.255
2019-02-08,2.305,4.6583,10.4491,2.2702
2019-02-08,2.318,4.6428,10.4454,2.4075
2019-02-08,2.332,4.6326,10.449,2.3961
2019-02-08,2.345,4.6348,10.4519,2.419
2019-02-08,2.359,4.6346,10.4566,2.3885
2019-02-08,2.373,4.628,10.4565,2.77
2019-02-08,2.388,4.6224,10.4534,2.7967
2019-02-08,2.405,4.6184,10.4554,2.7623
2019-02-08,2.42,4.6097,10.4537,2.7623
2019-02-08,2.434,4.5983,10.4501,2.8768
2019-02-08,2.448,4.5884,10.4493,2.9187
2019-02-08,2.462,4.5807,10.4526,2.8806
2019-02-08,2.478,4.5758,10.4592,2.8615
2019-02-08,2.495,4.5727,10.4595,3.1324
2019-02-08,2.51,4.5706,10.4604,3.1438
2019-02-08,2.526,4.5691,10.4665,3.1743
2019-02-08,2.543,4.5681,10.4643,3.14
2019-02-08,2.56,4.5677,10.4638,3.1171
2019-02-08,2.575,4.5678,10.4586,3.3269
2019-02-08,2.59,4.5681,10.4579,3.3269
2019-02-08,2.606,4.5679,10.4529,3.3155
2019-02-08,2.619,4.5672,10.4554,3.3231
2019-02-08,2.633,4.5662,10.4537,3.2125
2019-02-08,2.65,4.5662,10.4516,3.1934
2019-02-08,2.665,4.5668,10.4545,3.1896
2019-02-08,2.68,4.5673,10.4598,3.1629
2019-02-08,2.695,4.5693,10.4658,3.7961
2019-02-08,2.712,4.5728,10.4638,3.7809
2019-02-08,2.732,4.5756,10.4646,3.8228
2019-02-08,2.753,4.5762,10.4619,3.819
2019-02-08,2.77,4.5759,10.4646,3.7275
2019-02-08,2.786,4.5752,10.4561,3.7542
2019-02-08,2.802,4.5728,10.4571,3.7351
2019-02-08,2.822,4.5696,10.453,3.7465
2019-02-08,2.842,4.5652,10.4552,4.0441
2019-02-08,2.858,4.5606,10.467,4.0746
2019-02-08,2.872,4.5587,10.4679,4.0364
2019-02-08,2.889,4.558,10.4699,4.0632
2019-02-08,2.907,4.5579,10.4674,4.0517
2019-02-08,2.925,4.5571,10.4744,4.3035
2019-02-08,2.939,4.5535,10.4728,4.3035
2019-02-08,2.95,4.5481,10.4794,4.3035
2019-02-08,2.964,4.5439,10.4751,4.273
2019-02-08,2.975,4.5426,10.4759,4.2348
2019-02-08,2.989,4.535,10.4792,4.2234
2019-02-08,3.002,4.5192,10.4788,4.2043
2019-02-08,3.013,4.5054,10.4775,4.2043
2019-02-08,3.027,4.4972,10.4807,4.1623
2019-02-08,3.046,4.4908,10.4823,4.1814
2019-02-08,3.066,4.4856,10.4808,4.1814
2019-02-08,3.084,4.4822,10.4847,4.17
2019-02-08,3.102,4.4795,10.4863,4.2844
2019-02-08,3.117,4.4761,10.4822,4.3035
2019-02-08,3.132,4.4751,10.4804,4.292
2019-02-08,3.149,4.4813,10.4769,4.2959
2019-02-08,3.167,4.4895,10.4766,4.4141
2019-02-08,3.183,4.4926,10.4684,4.4103
2019-02-08,3.199,4.4917,10.4676,4.4103
2019-02-08,3.216,4.491,10.4683,4.376
2019-02-08,3.23,4.4901,10.4668,4.3836
2019-02-08,3.243,4.4873,10.4707,4.292
2019-02-08,3.258,4.4855,10.4678,4.3035
2019-02-08,3.275,4.4852,10.467,4.3035
2019-02-08,3.292,4.4851,10.4645,4.2844
2019-02-08,3.306,4.4856,10.4689,4.3569
2019-02-08,3.32,4.4868,10.4687,4.3416
2019-02-08,3.336,4.4887,10.4687,4.3416
2019-02-08,3.352,4.4882,10.4715,4.3607
2019-02-08,3.366,4.4854,10.4707,4.2959
2019-02-08,3.382,4.4824,10.4715,4.3226
2019-02-08,3.397,4.48,10.4715,4.2844
2019-02-08,3.415,4.4786,10.4653,4.2882
2019-02-08,3.438,4.4779,10.4667,4.334
2019-02-08,3.458,4.4772,10.4581,4.3683
2019-02-08,3.48,4.4763,10.4598,4.3607
2019-02-08,3.5,4.4764,10.4491,4.3378
2019-02-08,3.516,4.476,10.4513,4.3569
2019-02-08,3.533,4.4724,10.4478,4.2272
2019-02-08,3.554,4.4672,10.4518,4.2539
2019-02-08,3.583,4.4652,10.4497,4.2386
2019-02-08,3.613,4.4643,10.4532,4.2386
2019-02-08,3.641,4.462,10.4566,4.0899
2019-02-08,3.664,4.4606,10.4598,4.1089
2019-02-08,3.684,4.4593,10.4652,4.1051
2019-02-08,3.709,4.4574,10.4618,4.1394
2019-02-08,3.737,4.4551,10.4566,4.3187
2019-02-08,3.767,4.4534,10.4563,4.2959
2019-02-08,3.793,4.4531,10.4613,4.2997
2019-02-08,3.813,4.4524,10.4628,4.2692
2019-02-08,3.832,4.451,10.4618,4.2844
2019-02-08,3.85,4.4497,10.4602,4.2844
2019-02-08,3.869,4.448,10.4597,4.3111
2019-02-08,3.89,4.445,10.4619,4.2844
2019-02-08,3.912,4.4415,10.458,4.2539
2019-02-08,3.934,4.4388,10.4551,4.3035
2019-02-08,3.958,4.4374,10.4507,4.292
2019-02-08,3.985,4.437,10.4541,4.2959
2019-02-08,4.008,4.4369,10.4588,4.2692
2019-02-08,4.028,4.4381,10.4615,4.3035
2019-02-08,4.047,4.4401,10.4643,4.2692
2019-02-08,4.067,4.4421,10.4695,4.2882
2019-02-08,4.09,4.4434,10.4685,4.2844
2019-02-08,4.115,4.4436,10.4685,4.292
2019-02-08,4.139,4.443,10.4656,4.3035
2019-02-08,4.163,4.4416,10.464,4.2844
2019-02-08,4.186,4.4401,10.4639,4.2844
2019-02-08,4.207,4.4388,10.4621,4.3378
2019-02-08,4.226,4.4377,10.4601,4.376
2019-02-08,4.244,4.4371,10.4624,4.3569
2019-02-08,4.262,4.4368,10.4624,4.3454
2019-02-08,4.285,4.4368,10.4583,4.3226
2019-02-08,4.309,4.4373,10.4674,4.3721
2019-02-08,4.333,4.4379,10.4554,4.3302
2019-02-08,4.352,4.4386,10.4524,4.3607
2019-02-08,4.365,4.4391,10.4554,4.3416
2019-02-08,4.377,4.4401,10.4518,4.3531
2019-02-08,4.394,4.4415,10.4476,4.3378
2019-02-08,4.415,4.4422,10.4506,4.3569
2019-02-08,4.436,4.4415,10.4498,4.3645
2019-02-08,4.456,4.4396,10.4501,4.2692
2019-02-08,4.474,4.4382,10.453,4.3073
2019-02-08,4.492,4.4378,10.4528,4.292
2019-02-08,4.508,4.4375,10.4556,4.2844
2019-02-08,4.532,4.437,10.4514,4.334
2019-02-08,4.559,4.4366,10.4554,4.3683
2019-02-08,4.585,4.4366,10.4503,4.3645
2019-02-08,4.61,4.4363,10.4486,4.3226
2019-02-08,4.635,4.4361,10.455,4.2768
2019-02-08,4.658,4.4357,10.4547,4.2806
2019-02-08,4.677,4.4348,10.4547,4.2882
2019-02-08,4.692,4.4336,10.4509,4.3264
2019-02-08,4.709,4.4321,10.4485,4.2081
2019-02-08,4.727,4.4303,10.4434,4.2501
2019-02-08,4.742,4.429,10.4424,4.2234
2019-02-08,4.763,4.429,10.4376,4.2119
2019-02-08,4.784,4.4298,10.4378,4.2386
2019-02-08,4.803,4.4309,10.4398,4.2959
2019-02-08,4.825,4.4322,10.4432,4.2806
2019-02-08,4.846,4.4333,10.4469,4.2844
2019-02-08,4.867,4.4314,10.4531,4.2615
2019-02-08,4.889,4.4256,10.4508,4.4599
2019-02-08,4.913,4.4213,10.4474,4.4828
2019-02-08,4.939,4.4199,10.4461,4.4675
2019-02-08,4.962,4.4195,10.4506,4.2081
2019-02-08,4.965,4.4205,10.4494,4.4561
2019-02-08,4.969,4.433,10.4538,4.1204
2019-02-08,4.98,4.4324,10.4493,4.086
2019-02-08,4.99,4.4214,10.4438,4.3989
2019-02-08,4.994,4.431,10.4459,4.1051
2019-02-08,4.998,4.4155,10.4477,4.2348
2019-02-08,5.006,4.4286,10.4407,4.128
2019-02-08,5.012,4.42,10.4518,4.3989
2019-02-08,5.014,4.425,10.4431,4.1166
2019-02-08,5.016,4.4163,10.45,4.1967
2019-02-08,5.017,4.413,10.449,4.2539
2019-02-08,5.018,4.4206,10.4447,4.0899
2019-02-08,5.031,4.4172,10.4491,4.395
2019-02-08,5.032,4.4107,10.4509,4.2539
2019-02-08,5.033,4.4117,10.4554,4.2157
2019-02-08,5.046,4.4131,10.4499,4.4027
2019-02-08,5.048,4.4103,10.4494,4.2234
2019-02-08,5.054,4.4074,10.4509,4.2081
2019-02-08,5.066,4.4044,10.4529,4.0479
2019-02-08,5.074,4.4045,10.4556,4.067
2019-02-08,5.09,4.4068,10.4548,4.0403
2019-02-08,5.107,4.4081,10.4473,4.0746
2019-02-08,5.114,4.4132,10.4503,4.1089
